temperature,max,min,a/c,heater
22.73,25,20,0,0
26.27,25,20,0,0
25.11,25,20,1,0
21.70,25,20,1,0
20.53,25,20,0,0
23.35,25,20,0,0
21.15,25,20,0,0
18.47,25,20,0,0
19.79,25,20,0,1
23.00,25,20,0,1
21.80,25,20,0,0
19.06,25,20,0,0
19.08,25,20,0,1
22.17,25,20,0,1
19.91,25,20,0,0
22.83,25,20,0,1
26.78,25,20,0,0
25.12,25,20,1,0
22.97,25,20,1,0
23.92,25,20,0,0
24.46,25,20,0,0
23.17,25,20,0,0
24.25,25,20,0,0
24.81,25,20,0,0
24.19,25,20,0,0
26.71,25,20,0,0
25.18,25,20,1,0
19.86,25,20,1,0
23.75,25,20,0,1
24.79,25,20,0,0
22.64,25,20,0,0
23.39,25,20,0,0
23.75,25,20,0,0
23.56,25,20,0,0
26.10,25,20,0,0
22.46,25,20,1,0
23.14,25,20,0,0
19.79,25,20,0,0
23.43,25,20,0,1
21.46,25,20,0,0
22.02,25,20,0,0
25.83,25,20,0,0
23.19,25,20,1,0
23.97,25,20,0,0
21.79,25,20,0,0
25.51,25,20,0,0
21.82,25,20,1,0
21.16,25,20,0,0
20.55,25,20,0,0
20.18,25,20,0,0
21.51,25,20,0,0
21.24,25,20,0,0
25.31,25,20,0,0
24.29,25,20,1,0
27.12,25,20,0,0
24.65,25,20,1,0
28.33,25,20,0,0
27.56,25,20,1,0
26.32,25,20,1,0
22.55,25,20,1,0
22.70,25,20,0,0
23.70,25,20,0,0
23.20,25,20,0,0
21.57,25,20,0,0
22.41,25,20,0,0
18.99,25,20,0,0
20.81,25,20,0,1
24.65,25,20,0,0
24.42,25,20,0,0
27.92,25,20,0,0
24.28,25,20,1,0
21.47,25,20,0,0
19.62,25,20,0,0
24.80,25,20,0,1
20.65,25,20,0,0
25.48,25,20,0,0
24.35,25,20,1,0
24.25,25,20,0,0
21.66,25,20,0,0
20.32,25,20,0,0
18.81,25,20,0,0
21.29,25,20,0,1
23.11,25,20,0,0
18.92,25,20,0,0
23.15,25,20,0,1
24.23,25,20,0,0
27.70,25,20,0,0
26.64,25,20,1,0
23.37,25,20,1,0
22.49,25,20,0,0
17.13,25,20,0,0
18.90,25,20,0,1
22.02,25,20,0,1
20.48,25,20,0,0
20.35,25,20,0,0
18.66,25,20,0,0
21.68,25,20,0,1
21.11,25,20,0,0
19.48,25,20,0,0
22.94,25,20,0,1
22.63,25,20,0,0
21.57,25,20,0,0
22.71,25,20,0,0
27.33,25,20,0,0
23.98,25,20,1,0
25.77,25,20,0,0
22.10,25,20,1,0
22.19,25,20,0,0
24.71,25,20,0,0
23.49,25,20,0,0
20.94,25,20,0,0
18.55,25,20,0,0
21.25,25,20,0,1
21.20,25,20,0,0
23.20,25,20,0,0
19.84,25,20,0,0
23.46,25,20,0,1
23.96,25,20,0,0
24.16,25,20,0,0
24.45,25,20,0,0
22.50,25,20,0,0
23.33,25,20,0,0
23.62,25,20,0,0
26.35,25,20,0,0
23.32,25,20,1,0
19.85,25,20,0,0
23.89,25,20,0,1
25.97,25,20,0,0
23.02,25,20,1,0
23.56,25,20,0,0
18.60,25,20,0,0
20.45,25,20,0,1
17.46,25,20,0,0
18.90,25,20,0,1
22.98,25,20,0,1
21.95,25,20,0,0
18.33,25,20,0,0
22.64,25,20,0,1
23.32,25,20,0,0
22.43,25,20,0,0
23.33,25,20,0,0
25.78,25,20,0,0
25.33,25,20,1,0
22.52,25,20,1,0
25.54,25,20,0,0
23.09,25,20,1,0
21.22,25,20,0,0
20.20,25,20,0,0
21.75,25,20,0,0
25.57,25,20,0,0
22.63,25,20,1,0
22.66,25,20,0,0
23.20,25,20,0,0
25.83,25,20,0,0
23.28,25,20,1,0
24.04,25,20,0,0
22.46,25,20,0,0
19.52,25,20,0,0
23.16,25,20,0,1
27.02,25,20,0,0
22.33,25,20,1,0
22.13,25,20,0,0
18.34,25,20,0,0
21.92,25,20,0,1
25.74,25,20,0,0
22.45,25,20,1,0
21.46,25,20,0,0
22.27,25,20,0,0
24.64,25,20,0,0
19.95,25,20,0,0
22.90,25,20,0,1
25.08,25,20,0,0
21.43,25,20,1,0
21.82,25,20,0,0
20.96,25,20,0,0
19.03,25,20,0,0
23.66,25,20,0,1
27.84,25,20,0,0
25.63,25,20,1,0
21.46,25,20,1,0
22.95,25,20,0,0
25.11,25,20,0,0
23.43,25,20,1,0
20.55,25,20,0,0
17.23,25,20,0,0
17.94,25,20,0,1
23.69,25,20,0,1
24.11,25,20,0,0
26.99,25,20,0,0
23.69,25,20,1,0
22.33,25,20,0,0
22.45,25,20,0,0
22.70,25,20,0,0
21.38,25,20,0,0
23.91,25,20,0,0
24.85,25,20,0,0
21.36,25,20,0,0
24.67,25,20,0,0
25.82,25,20,0,0
23.27,25,20,1,0
20.48,25,20,0,0
18.56,25,20,0,0
20.77,25,20,0,1
16.26,25,20,0,0
20.64,25,20,0,1
22.36,25,20,0,0
21.78,25,20,0,0
21.32,25,20,0,0
21.93,25,20,0,0
24.95,25,20,0,0
23.11,25,20,0,0
21.92,25,20,0,0
20.90,25,20,0,0
17.08,25,20,0,0
20.85,25,20,0,1
25.35,25,20,0,0
21.32,25,20,1,0
19.02,25,20,0,0
22.80,25,20,0,1
18.31,25,20,0,0
19.79,25,20,0,1
23.28,25,20,0,1
21.39,25,20,0,0
23.49,25,20,0,0
23.18,25,20,0,0
23.01,25,20,0,0
21.65,25,20,0,0
22.64,25,20,0,0
19.07,25,20,0,0
21.93,25,20,0,1
24.66,25,20,0,0
27.47,25,20,0,0
24.34,25,20,1,0
23.63,25,20,0,0
23.95,25,20,0,0
24.85,25,20,0,0
25.80,25,20,0,0
23.22,25,20,1,0
20.60,25,20,0,0
17.94,25,20,0,0
22.26,25,20,0,1
18.46,25,20,0,0
22.28,25,20,0,1
24.82,25,20,0,0
27.15,25,20,0,0
24.39,25,20,1,0
21.81,25,20,0,0
21.02,25,20,0,0
17.75,25,20,0,0
21.20,25,20,0,1
21.79,25,20,0,0
23.68,25,20,0,0
22.29,25,20,0,0
21.11,25,20,0,0
20.75,25,20,0,0
19.04,25,20,0,0
22.94,25,20,0,1
26.83,25,20,0,0
24.46,25,20,1,0
19.23,25,20,0,0
20.14,25,20,0,1
22.16,25,20,0,0
26.34,25,20,0,0
24.06,25,20,1,0
23.12,25,20,0,0
24.97,25,20,0,0
20.70,25,20,0,0
25.66,25,20,0,0
20.67,25,20,1,0
20.75,25,20,0,0
21.78,25,20,0,0
19.98,25,20,0,0
22.86,25,20,0,1
28.00,25,20,0,0
26.70,25,20,1,0
25.15,25,20,1,0
21.73,25,20,1,0
24.61,25,20,0,0
24.47,25,20,0,0
20.15,25,20,0,0
21.62,25,20,0,0
25.16,25,20,0,0
22.45,25,20,1,0
18.96,25,20,0,0
21.10,25,20,0,1
17.48,25,20,0,0
21.56,25,20,0,1
21.13,25,20,0,0
21.19,25,20,0,0
18.07,25,20,0,0
20.03,25,20,0,1
18.47,25,20,0,0
19.11,25,20,0,1
21.78,25,20,0,1
17.47,25,20,0,0
21.28,25,20,0,1
20.35,25,20,0,0
22.95,25,20,0,0
22.18,25,20,0,0
19.41,25,20,0,0
23.30,25,20,0,1
23.48,25,20,0,0
26.72,25,20,0,0
24.47,25,20,1,0
26.31,25,20,0,0
22.88,25,20,1,0
24.94,25,20,0,0
26.06,25,20,0,0
23.15,25,20,1,0
25.66,25,20,0,0
25.21,25,20,1,0
19.51,25,20,1,0
20.61,25,20,0,1
22.10,25,20,0,0
21.46,25,20,0,0
19.77,25,20,0,0
24.27,25,20,0,1
27.13,25,20,0,0
25.15,25,20,1,0
22.22,25,20,1,0
24.13,25,20,0,0
25.60,25,20,0,0
20.59,25,20,1,0
22.60,25,20,0,0
23.66,25,20,0,0
22.17,25,20,0,0
24.62,25,20,0,0
23.50,25,20,0,0
23.87,25,20,0,0
27.60,25,20,0,0
23.85,25,20,1,0
22.73,25,20,0,0
21.12,25,20,0,0
23.02,25,20,0,0
22.84,25,20,0,0
26.19,25,20,0,0
23.17,25,20,1,0
20.22,25,20,0,0
24.27,25,20,0,0
27.81,25,20,0,0
24.05,25,20,1,0
27.97,25,20,0,0
26.04,25,20,1,0
22.15,25,20,1,0
21.29,25,20,0,0
