humidity,max,min,humidifier,de-humidifier
63.45,90,50,0,0
58.70,90,50,0,0
55.06,90,50,0,0
35.54,90,50,0,0
53.44,90,50,1,0
37.53,90,50,0,0
49.80,90,50,1,0
55.28,90,50,1,0
56.28,90,50,0,0
55.93,90,50,0,0
51.13,90,50,0,0
58.60,90,50,0,0
42.22,90,50,0,0
37.56,90,50,1,0
57.46,90,50,1,0
77.06,90,50,0,0
72.28,90,50,0,0
74.23,90,50,0,0
80.44,90,50,0,0
73.65,90,50,0,0
66.75,90,50,0,0
61.61,90,50,0,0
66.06,90,50,0,0
62.42,90,50,0,0
52.88,90,50,0,0
59.15,90,50,0,0
32.18,90,50,0,0
50.93,90,50,1,0
53.82,90,50,0,0
29.45,90,50,0,0
47.45,90,50,1,0
54.89,90,50,1,0
32.42,90,50,0,0
50.80,90,50,1,0
41.75,90,50,0,0
44.63,90,50,1,0
54.64,90,50,1,0
68.58,90,50,0,0
73.56,90,50,0,0
69.44,90,50,0,0
69.42,90,50,0,0
86.13,90,50,0,0
92.24,90,50,0,0
71.61,90,50,0,1
51.79,90,50,0,0
33.68,90,50,0,0
47.54,90,50,1,0
59.59,90,50,1,0
43.29,90,50,0,0
57.49,90,50,1,0
69.34,90,50,0,0
80.68,90,50,0,0
82.32,90,50,0,0
80.93,90,50,0,0
55.31,90,50,0,0
63.10,90,50,0,0
68.03,90,50,0,0
59.11,90,50,0,0
38.84,90,50,0,0
65.48,90,50,1,0
63.67,90,50,0,0
57.40,90,50,0,0
81.19,90,50,0,0
81.22,90,50,0,0
84.77,90,50,0,0
94.28,90,50,0,0
84.76,90,50,0,1
70.40,90,50,0,0
67.45,90,50,0,0
68.84,90,50,0,0
75.33,90,50,0,0
66.90,90,50,0,0
71.77,90,50,0,0
98.82,90,50,0,0
88.44,90,50,0,1
93.85,90,50,0,0
78.19,90,50,0,1
76.25,90,50,0,0
54.87,90,50,0,0
38.47,90,50,0,0
48.68,90,50,1,0
57.31,90,50,1,0
55.91,90,50,0,0
58.88,90,50,0,0
77.18,90,50,0,0
92.15,90,50,0,0
78.36,90,50,0,1
91.12,90,50,0,0
77.89,90,50,0,1
72.73,90,50,0,0
71.28,90,50,0,0
54.52,90,50,0,0
40.05,90,50,0,0
64.91,90,50,1,0
60.41,90,50,0,0
38.46,90,50,0,0
57.02,90,50,1,0
67.74,90,50,0,0
57.98,90,50,0,0
58.76,90,50,0,0
37.68,90,50,0,0
52.42,90,50,1,0
41.06,90,50,0,0
54.97,90,50,1,0
42.18,90,50,0,0
62.44,90,50,1,0
