ph,max,min,fl-injector,as-injector
7.36,8,6,0,0
7.36,8,6,0,0
6.70,8,6,0,0
6.66,8,6,0,0
6.24,8,6,0,0
5.97,8,6,0,0
6.71,8,6,1,0
6.93,8,6,0,0
6.99,8,6,0,0
6.47,8,6,0,0
6.22,8,6,0,0
5.43,8,6,0,0
5.82,8,6,1,0
6.22,8,6,1,0
5.78,8,6,0,0
5.92,8,6,1,0
6.39,8,6,1,0
6.56,8,6,0,0
7.21,8,6,0,0
7.07,8,6,0,0
7.24,8,6,0,0
6.88,8,6,0,0
7.40,8,6,0,0
7.64,8,6,0,0
8.06,8,6,0,0
7.35,8,6,0,1
7.55,8,6,0,0
7.25,8,6,0,0
7.57,8,6,0,0
8.09,8,6,0,0
7.74,8,6,0,1
7.21,8,6,0,0
6.53,8,6,0,0
6.25,8,6,0,0
6.93,8,6,0,0
6.93,8,6,0,0
7.15,8,6,0,0
6.79,8,6,0,0
6.95,8,6,0,0
6.79,8,6,0,0
7.12,8,6,0,0
6.22,8,6,0,0
6.73,8,6,0,0
6.14,8,6,0,0
6.13,8,6,0,0
5.52,8,6,0,0
6.22,8,6,1,0
6.17,8,6,0,0
6.74,8,6,0,0
6.75,8,6,0,0
6.96,8,6,0,0
7.13,8,6,0,0
7.27,8,6,0,0
7.86,8,6,0,0
7.98,8,6,0,0
8.76,8,6,0,0
8.08,8,6,0,1
7.51,8,6,0,1
6.90,8,6,0,0
7.02,8,6,0,0
6.63,8,6,0,0
7.25,8,6,0,0
6.78,8,6,0,0
7.18,8,6,0,0
7.37,8,6,0,0
7.17,8,6,0,0
6.96,8,6,0,0
6.14,8,6,0,0
5.78,8,6,0,0
6.70,8,6,1,0
6.62,8,6,0,0
5.62,8,6,0,0
6.01,8,6,1,0
5.51,8,6,0,0
6.34,8,6,1,0
6.28,8,6,0,0
5.85,8,6,0,0
6.79,8,6,1,0
6.85,8,6,0,0
5.95,8,6,0,0
6.34,8,6,1,0
6.27,8,6,0,0
5.39,8,6,0,0
6.51,8,6,1,0
6.65,8,6,0,0
6.26,8,6,0,0
6.45,8,6,0,0
6.25,8,6,0,0
6.69,8,6,0,0
7.18,8,6,0,0
7.30,8,6,0,0
7.17,8,6,0,0
7.46,8,6,0,0
8.50,8,6,0,0
7.67,8,6,0,1
6.75,8,6,0,0
7.13,8,6,0,0
8.12,8,6,0,0
7.32,8,6,0,1
7.25,8,6,0,0
