temperature,max,min,a/c,heater,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
25,25,20,0,0,,,
25,25,20,1,0,,,
25,25,20,1,0,,,
24,25,20,1,0,,,
24,25,20,0,0,,,
24,25,20,0,0,,,
29,25,20,0,0,,,
29,25,20,1,0,,,
29,25,20,1,0,,,
26,25,20,1,0,,,
26,25,20,1,0,,,
26,25,20,1,0,,,
22,25,20,1,0,,,
22,25,20,0,0,,,
22,25,20,0,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
20,25,20,0,0,,,
20,25,20,0,0,,,
20,25,20,0,0,,,
18,25,20,0,0,,,
18,25,20,0,0,,,
18,25,20,0,1,,,
21,25,20,0,1,,,
21,25,20,0,1,,,
21,25,20,0,0,,,
19,25,20,0,0,,,
19,25,20,0,0,,,
19,25,20,0,1,,,
22,25,20,0,1,,,
22,25,20,0,1,,,
22,25,20,0,0,,,
18,25,20,0,0,,,
18,25,20,0,0,,,
18,25,20,0,1,,,
19,25,20,0,1,,,
19,25,20,0,1,,,
19,25,20,0,1,,,
24,25,20,0,1,,,
24,25,20,0,1,,,
24,25,20,0,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
17,25,20,0,0,,,
17,25,20,0,0,,,
17,25,20,0,1,,,
20,25,20,0,1,,,
20,25,20,0,1,,,
20,25,20,0,0,,,
22,25,20,0,0,,,
22,25,20,0,0,,,
22,25,20,0,0,,,
24,25,20,0,0,,,
24,25,20,0,0,,,
24,25,20,0,0,,,
20,25,20,0,0,,,
20,25,20,0,0,,,
20,25,20,0,0,,,
16,25,20,0,0,,,
16,25,20,0,0,,,
16,25,20,0,1,,,
18,25,20,0,1,,,
18,25,20,0,1,,,
18,25,20,0,1,,,
21,25,20,0,1,,,
21,25,20,0,1,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
22,25,20,0,0,,,
22,25,20,0,0,,,
22,25,20,0,0,,,
24,25,20,0,0,,,
24,25,20,0,0,,,
24,25,20,0,0,,,
28,25,20,0,0,,,
28,25,20,1,0,,,
28,25,20,1,0,,,
23,25,20,1,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
19,25,20,0,0,,,
19,25,20,0,0,,,
19,25,20,0,1,,,
21,25,20,0,1,,,
21,25,20,0,1,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
17,25,20,0,0,,,
17,25,20,0,0,,,
17,25,20,0,1,,,
19,25,20,0,1,,,
19,25,20,0,1,,,
19,25,20,0,1,,,
23,25,20,0,1,,,
23,25,20,0,1,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
19,25,20,0,0,,,
19,25,20,0,0,,,
19,25,20,0,1,,,
22,25,20,0,1,,,
22,25,20,0,1,,,
22,25,20,0,0,,,
25,25,20,0,0,,,
25,25,20,1,0,,,
25,25,20,1,0,,,
22,25,20,1,0,,,
22,25,20,0,0,,,
22,25,20,0,0,,,
25,25,20,0,0,,,
25,25,20,1,0,,,
25,25,20,1,0,,,
23,25,20,1,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
26,25,20,0,0,,,
26,25,20,1,0,,,
26,25,20,1,0,,,
24,25,20,1,0,,,
24,25,20,0,0,,,
24,25,20,0,0,,,
27,25,20,0,0,,,
27,25,20,1,0,,,
27,25,20,1,0,,,
22,25,20,1,0,,,
22,25,20,0,0,,,
22,25,20,0,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
27,25,20,0,0,,,
27,25,20,1,0,,,
27,25,20,1,0,,,
24,25,20,1,0,,,
24,25,20,0,0,,,
24,25,20,0,0,,,
25,25,20,0,0,,,
25,25,20,1,0,,,
25,25,20,1,0,,,
24,25,20,1,0,,,
24,25,20,0,0,,,
24,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
27,25,20,0,0,,,
27,25,20,1,0,,,
27,25,20,1,0,,,
25,25,20,1,0,,,
25,25,20,1,0,,,
25,25,20,1,0,,,
24,25,20,1,0,,,
24,25,20,0,0,,,
24,25,20,0,0,,,
22,25,20,0,0,,,
22,25,20,0,0,,,
22,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
25,25,20,0,0,,,
25,25,20,1,0,,,
25,25,20,1,0,,,
21,25,20,1,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
19,25,20,0,0,,,
19,25,20,0,0,,,
19,25,20,0,1,,,
20,25,20,0,1,,,
20,25,20,0,1,,,
20,25,20,0,0,,,
20,25,20,0,0,,,
20,25,20,0,0,,,
20,25,20,0,0,,,
22,25,20,0,0,,,
22,25,20,0,0,,,
22,25,20,0,0,,,
20,25,20,0,0,,,
20,25,20,0,0,,,
20,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
20,25,20,0,0,,,
20,25,20,0,0,,,
20,25,20,0,0,,,
19,25,20,0,0,,,
19,25,20,0,0,,,
19,25,20,0,1,,,
23,25,20,0,1,,,
23,25,20,0,1,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
24,25,20,0,0,,,
24,25,20,0,0,,,
24,25,20,0,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
26,25,20,0,0,,,
26,25,20,1,0,,,
26,25,20,1,0,,,
24,25,20,1,0,,,
24,25,20,0,0,,,
24,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
17,25,20,0,0,,,
17,25,20,0,0,,,
17,25,20,0,1,,,
20,25,20,0,1,,,
20,25,20,0,1,,,
20,25,20,0,0,,,
22,25,20,0,0,,,
22,25,20,0,0,,,
22,25,20,0,0,,,
22,25,20,0,0,,,
22,25,20,0,0,,,
22,25,20,0,0,,,
22,25,20,0,0,,,
22,25,20,0,0,,,
22,25,20,0,0,,,
17,25,20,0,0,,,
17,25,20,0,0,,,
17,25,20,0,1,,,
20,25,20,0,1,,,
20,25,20,0,1,,,
20,25,20,0,0,,,
17,25,20,0,0,,,
17,25,20,0,0,,,
17,25,20,0,1,,,
22,25,20,0,1,,,
22,25,20,0,1,,,
22,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
25,25,20,0,0,,,
25,25,20,1,0,,,
25,25,20,1,0,,,
23,25,20,1,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
22,25,20,0,0,,,
22,25,20,0,0,,,
22,25,20,0,0,,,
22,25,20,0,0,,,
22,25,20,0,0,,,
22,25,20,0,0,,,
26,25,20,0,0,,,
26,25,20,1,0,,,
26,25,20,1,0,,,
24,25,20,1,0,,,
24,25,20,0,0,,,
24,25,20,0,0,,,
24,25,20,0,0,,,
24,25,20,0,0,,,
24,25,20,0,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
20,25,20,0,0,,,
20,25,20,0,0,,,
20,25,20,0,0,,,
22,25,20,0,0,,,
22,25,20,0,0,,,
22,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
20,25,20,0,0,,,
20,25,20,0,0,,,
20,25,20,0,0,,,
15,25,20,0,0,,,
15,25,20,0,0,,,
15,25,20,0,1,,,
18,25,20,0,1,,,
18,25,20,0,1,,,
18,25,20,0,1,,,
19,25,20,0,1,,,
19,25,20,0,1,,,
19,25,20,0,1,,,
21,25,20,0,1,,,
21,25,20,0,1,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
22,25,20,0,0,,,
22,25,20,0,0,,,
22,25,20,0,0,,,
20,25,20,0,0,,,
20,25,20,0,0,,,
20,25,20,0,0,,,
22,25,20,0,0,,,
22,25,20,0,0,,,
22,25,20,0,0,,,
26,25,20,0,0,,,
26,25,20,1,0,,,
26,25,20,1,0,,,
21,25,20,1,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
27,25,20,0,0,,,
27,25,20,1,0,,,
27,25,20,1,0,,,
23,25,20,1,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
26,25,20,0,0,,,
26,25,20,1,0,,,
26,25,20,1,0,,,
21,25,20,1,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
17,25,20,0,0,,,
17,25,20,0,0,,,
17,25,20,0,1,,,
21,25,20,0,1,,,
21,25,20,0,1,,,
21,25,20,0,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
21,25,20,0,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
23,25,20,0,0,,,
19,25,20,0,0,,,
19,25,20,0,0,,,
19,25,20,0,1,,,
